206;Bruce Springsteen;BRUCESPRINGSTEEN;I m Goin  Down;07/09/1985
207;Saliva;SALIVA;Always;14/12/2002
208;Tori Amos;TORIAMOS;Silent All These Years;22/03/1997
209;Daft Punk;DAFTPUNK;Around The World;30/08/1997
210;Third Eye Blind;THIRDEYEBLIND;Never Let You Go;22/01/2000
211;Stone Sour;STONESOUR;Bother;02/11/2002
212;Eurythmics;EURYTHMICS;I Need A Man;19/12/1987
213;Everclear;EVERCLEAR;Heartspark Dollarsign;18/05/1996
214;The Doors;DOORS;Love Her Madly;10/04/1971
215;Pearl Jam;PEARLJAM;Last Kiss;29/05/1999
216;John Mayer;JOHNMAYER;No Such Thing;01/06/2002
217;Van Halen;VANHALEN;Runnin' With The Devil;06/05/1978
218;No Doubt;NODOUBT;Hella Good;20/04/2002
219;Disturbed;DISTURBED;Prayer;28/09/2002
220;TRUSTcompany;TRUSTCOMPANY;Downfall;19/10/2002
221;Van Halen;VANHALEN;Dance The Night Away;28/04/1979
222;Lifehouse;LIFEHOUSE;Spin;16/11/2002
223;Faith No More;FAITHNOMORE;Falling To Pieces;10/11/1990
224;Bananarama;BANANARAMA;Cruel Summer;21/07/1984
225;T'Pau;TPAU;Heart And Soul;02/05/1987
226;Duran Duran;DURANDURAN;Electric Barbarella;11/10/1997
227;U2;U2;All I Want Is You;01/07/1989
228;Simon & Garfunkel;SIMONGARFUNKEL;I Am A Rock;07/05/1966
229;Tori Amos;TORIAMOS;God;19/02/1994
230;Nas;NAS;Made You Look;21/12/2002
231;Eve 6;EVE6;Inside Out;05/12/1998
232;Hootie & The Blowfish;HOOTIEBLOWFISH;Time;11/11/1995
233;Kylie Minogue;KYLIEMINOGUE;Come Into My World;14/12/2002
234;Live;LIVE;Selling The Drama;04/06/1994
235;Aerosmith;AEROSMITH;What It Takes;17/03/1990
236;Moby Featuring Gwen Stefani;MOBY;South Side;02/12/2000
237;Billy Joel;BILLYJOEL;Only The Good Die Young;13/05/1978
238;Aretha Franklin;ARETHAFRANKLIN;Think;18/05/1968
239;The Brothers Johnson;BROTHERSJOHNSON;Strawberry Letter 23;02/07/1977
240;The Cure;CURE;Mint Car;20/07/1996
241;Oakenfold Featuring Shifty Shellshock;OAKENFOLD;Starry Eyed Surprise;19/10/2002
242;Chevelle;CHEVELLE;Send The Pain Below;10/05/2003
243;Aretha Franklin;ARETHAFRANKLIN;Spanish Harlem;31/07/1971
244;Aretha Franklin;ARETHAFRANKLIN;Willing To Forgive;14/05/1994
245;Gladys Knight And The Pips;GLADYSKNIGHTANDPIPS;Help Me Make It Through The Night;25/03/1972
246;U2;U2;Hold Me, Thrill Me, Kiss Me, Kill Me (From Batman Forever);24/06/1995
247;Crazy Town;CRAZYTOWN;Butterfly;06/01/2001
248;Yes;YES;Rhythm Of Love;19/12/1987
249;Phil Collins;PHILCOLLINS;Can't Stop Loving You;01/02/2003
250;Steve Winwood;STEVEWINWOOD;Higher Love;14/06/1986
